KO	Gene_identification	A	B	C	D
K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Pathway module	Energy metabolism	Carbon fixation	CAM (Crassulacean acid metabolism), dark
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Pathway module	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, NAD - malic enzyme type
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle (TCA cycle, Krebs cycle)
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Glyoxylate cycle
K03248	EIF3G; translation initiation factor 3 subunit G	NA	NA	NA	NA
K02935	RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12	Structural complex	Genetic information processing	Ribosome	Ribosome, bacteria
K04812	CHRNB1; nicotinic acetylcholine receptor beta-1	NA	NA	NA	NA
K04468	NLK; nemo like kinase [EC:2.7.11.24]	NA	NA	NA	NA
K12815	DHX38, PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]	NA	NA	NA	NA
K03259	EIF4E; translation initiation factor 4E	Structural complex	Genetic information processing	RNA processing	eIF4F complex
K12828	SF3B1, SAP155; splicing factor 3B subunit 1	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U2-snRNP
K08333	PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]	NA	NA	NA	NA
K01872	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01872	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K06641	CHK2; serine/threonine-protein kinase Chk2 [EC:2.7.11.1]	Functional set	Environmental information processing	Cell signaling	DNA damage-induced cell cycle checkpoints
K12604	CNOT1, NOT1; CCR4-NOT transcription complex subunit 1	NA	NA	NA	NA
K07963	TRIM23, ARFD1; tripartite motif-containing protein 23 [EC:2.3.2.27]	NA	NA	NA	NA
K11836	USP5_13, UBP14; ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]	NA	NA	NA	NA
K14018	PLAA, DOA1, UFD3; phospholipase A-2-activating protein	NA	NA	NA	NA
K14007	SEC24; protein transport protein SEC24	Structural complex	Genetic information processing	Protein processing	COPII complex
K03217	yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase	Structural complex	Environmental information processing	Bacterial secretion system	Sec (secretion) system
K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K05656	ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9	NA	NA	NA	NA
K05546	GANAB; alpha 1,3-glucosidase [EC:3.2.1.84]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	N-glycan precursor trimming
K05546	GANAB; alpha 1,3-glucosidase [EC:3.2.1.84]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	N-glycan biosynthesis, high-mannose type
K13704	ABHD12; abhydrolase domain-containing protein 12 [EC:3.1.1.23]	NA	NA	NA	NA
K01674	cah; carbonic anhydrase [EC:4.2.1.1]	NA	NA	NA	NA
K12855	PRPF6, PRP6; pre-mRNA-processing factor 6	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U4/U6.U5 tri-snRNP
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Pathway module	Nucleotide and amino acid metabolism	Serine and threonine metabolism	Threonine biosynthesis, aspartate => homoserine => threonine
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine biosynthesis, apartate => homoserine => methionine
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Pathway module	Nucleotide and amino acid metabolism	Lysine metabolism	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Pathway module	Nucleotide and amino acid metabolism	Other amino acid metabolism	Ectoine biosynthesis, aspartate => ectoine
K06816	GLG1, ESL1; golgi apparatus protein 1	NA	NA	NA	NA
K11000	CALS; callose synthase [EC:2.4.1.-]	NA	NA	NA	NA
K13524	ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	Pathway module	Nucleotide and amino acid metabolism	Other amino acid metabolism	GABA (gamma-Aminobutyrate) shunt
K06111	EXOC4, SEC8; exocyst complex component 4	NA	NA	NA	NA
K03235	EF3, TEF3; elongation factor 3	NA	NA	NA	NA
K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle (Calvin cycle)
K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Photorespiration
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	beta-Oxidation
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	Pathway module	Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	Leucine degradation, leucine => acetoacetate + acetyl-CoA
K17255	GDI1_2; Rab GDP dissociation inhibitor	NA	NA	NA	NA
K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]	NA	NA	NA	NA
K13982	DDX4, VASA; probable ATP-dependent RNA helicase DDX4 [EC:3.6.4.13]	NA	NA	NA	NA
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Methionine degradation
K02896	RP-L24e, RPL24; large subunit ribosomal protein L24e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02896	RP-L24e, RPL24; large subunit ribosomal protein L24e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K06639	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	NA	NA	NA	NA
K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	NA	NA	NA	NA
K12852	EFTUD2; 116 kDa U5 small nuclear ribonucleoprotein component	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U4/U6.U5 tri-snRNP
K12852	EFTUD2; 116 kDa U5 small nuclear ribonucleoprotein component	Structural complex	Genetic information processing	Spliceosome	Spliceosome, 35S U5-snRNP
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
K04040	chlG, bchG; chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]	NA	NA	NA	NA
K16726	ANKRD17, MASK; ankyrin repeat domain-containing protein 17	NA	NA	NA	NA
K03234	EEF2; elongation factor 2	NA	NA	NA	NA
K13174	THOC5; THO complex subunit 5	Structural complex	Genetic information processing	RNA processing	THC complex
K13174	THOC5; THO complex subunit 5	Structural complex	Genetic information processing	RNA processing	TREX complex
K13621	BTA1; betaine lipid synthase	NA	NA	NA	NA
K04077	groEL, HSPD1; chaperonin GroEL	NA	NA	NA	NA
K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]	Pathway module	Energy metabolism	Carbon fixation	Reductive citrate cycle (Arnon-Buchanan cycle)
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	Pathway module	Energy metabolism	Carbon fixation	Reductive citrate cycle (Arnon-Buchanan cycle)
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle (TCA cycle, Krebs cycle)
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Glyoxylate cycle
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Methylaspartate cycle
K13993	HSP20; HSP20 family protein	NA	NA	NA	NA
K02355	fusA, GFM, EFG; elongation factor G	NA	NA	NA	NA
K01373	CTSF; cathepsin F [EC:3.4.22.41]	NA	NA	NA	NA
K10583	UBE2S, E2EPF; ubiquitin-conjugating enzyme E2 S [EC:2.3.2.23]	NA	NA	NA	NA
K10356	MYO1; myosin I	NA	NA	NA	NA
K02548	menA; 1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Menaquinone biosynthesis, chorismate => menaquinone
K14292	TGS1; trimethylguanosine synthase [EC:2.1.1.-]	NA	NA	NA	NA
K05917	CYP51; sterol 14-demethylase [EC:1.14.13.70]	Pathway module	Carbohydrate and lipid metabolism	Sterol biosynthesis	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol
K07573	CSL4, EXOSC1; exosome complex component CSL4	Structural complex	Genetic information processing	RNA processing	Exosome, archaea
K07573	CSL4, EXOSC1; exosome complex component CSL4	Structural complex	Genetic information processing	RNA processing	Exosome, eukaryotes
K01127	E3.1.4.50; glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]	NA	NA	NA	NA
K07901	RAB8A, MEL; Ras-related protein Rab-8A	NA	NA	NA	NA
K02321	POLA2; DNA polymerase alpha subunit B	Structural complex	Genetic information processing	DNA polymerase	DNA polymerase alpha / primase complex
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway (Pentose phosphate cycle)
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K10406	KIFC2_3; kinesin family member C2/C3	NA	NA	NA	NA
K11654	SMARCA5, SNF2H, ISWI; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-]	NA	NA	NA	NA
K18663	ASCC3; activating signal cointegrator complex subunit 3 [EC:3.6.4.12]	NA	NA	NA	NA
K06890	K06890; uncharacterized protein	NA	NA	NA	NA
K14050	RABGGTA; geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]	NA	NA	NA	NA
K19751	DNAAF2, KTU, PF13; dynein assembly factor 2, axonemal	NA	NA	NA	NA
K06636	SMC1; structural maintenance of chromosome 1	NA	NA	NA	NA
K08907	LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1	NA	NA	NA	NA
K02516	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	NA	NA	NA	NA
K03017	RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase II, eukaryotes
K14011	UBXN6, UBXD1; UBX domain-containing protein 6	NA	NA	NA	NA
K14709	SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3	NA	NA	NA	NA
K02918	RP-L35e, RPL35; large subunit ribosomal protein L35e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K06258	SV2; MFS transporter, VNT family, synaptic vesicle glycoprotein 2	NA	NA	NA	NA
K02541	MCM3; DNA replication licensing factor MCM3 [EC:3.6.4.12]	Structural complex	Genetic information processing	Replication system	MCM complex
K00921	PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	NA	NA	NA	NA
K05215	P2RX1; P2X purinoceptor 1	NA	NA	NA	NA
K10512	ZBTB40; zinc finger and BTB domain-containing protein 40	NA	NA	NA	NA
K12843	PRPF3, PRP3; U4/U6 small nuclear ribonucleoprotein PRP3	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U4/U6.U5 tri-snRNP
K01764	E4.4.1.17; cytochrome c heme-lyase [EC:4.4.1.17]	NA	NA	NA	NA
K02902	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28	Structural complex	Genetic information processing	Ribosome	Ribosome, bacteria
K19756	RSPH4A; radial spoke head protein 4A	NA	NA	NA	NA
K10365	CAPZB; capping protein (actin filament) muscle Z-line, beta	NA	NA	NA	NA
K11262	ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis, initiation
K02540	MCM2; DNA replication licensing factor MCM2 [EC:3.6.4.12]	Structural complex	Genetic information processing	Replication system	MCM complex
K06142	hlpA, ompH; outer membrane protein	NA	NA	NA	NA
K11599	POMP, UMP1; proteasome maturation protein	NA	NA	NA	NA
K10704	UBE2V; ubiquitin-conjugating enzyme E2 variant	NA	NA	NA	NA
K09578	PIN1; peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8]	NA	NA	NA	NA
K13719	OTU1, YOD1; ubiquitin thioesterase OTU1 [EC:3.1.2.-]	NA	NA	NA	NA
K09586	ERP29; endoplasmic reticulum protein 29	NA	NA	NA	NA
K09273	UBTF; upstream-binding transcription factor	NA	NA	NA	NA
K08714	VGSC; voltage-gated sodium channel	NA	NA	NA	NA
K00264	GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	NA	NA	NA	NA
K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	Structural complex	Genetic information processing	RNA processing	RNA degradosome
K17781	TIM13; mitochondrial import inner membrane translocase subunit TIM13	NA	NA	NA	NA
K06961	KRR1; ribosomal RNA assembly protein	NA	NA	NA	NA
K17570	HYDIN; hydrocephalus-inducing protein	NA	NA	NA	NA
K15283	SLC35E1; solute carrier family 35, member E1	NA	NA	NA	NA
K01186	NEU1; sialidase-1 [EC:3.2.1.18]	NA	NA	NA	NA
K01275	CTSC; cathepsin C [EC:3.4.14.1]	NA	NA	NA	NA
K15285	SLC35E3; solute carrier family 35, member E3	NA	NA	NA	NA
K09493	CCT1, TCP1; T-complex protein 1 subunit alpha	NA	NA	NA	NA
K18183	COX19; cytochrome c oxidase assembly protein subunit 19	NA	NA	NA	NA
K07575	K07575; PUA domain protein	NA	NA	NA	NA
K02867	RP-L11, MRPL11, rplK; large subunit ribosomal protein L11	Structural complex	Genetic information processing	Ribosome	Ribosome, bacteria
K02867	RP-L11, MRPL11, rplK; large subunit ribosomal protein L11	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02950	RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12	Structural complex	Genetic information processing	Ribosome	Ribosome, bacteria
K02950	RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02739	PSMB7; 20S proteasome subunit beta 2 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Proteasome, 20S core particle
K10754	RFC1; replication factor C subunit 1	Structural complex	Genetic information processing	Replication system	RF-C complex
K10754	RFC1; replication factor C subunit 1	Structural complex	Genetic information processing	Repair system	BRCA1-associated genome surveillance complex (BASC)
K04554	UBE2J2, NCUBE2, UBC6; ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]	NA	NA	NA	NA
K14951	ATP13A3_4_5; cation-transporting ATPase 13A3/4/5 [EC:3.6.3.-]	NA	NA	NA	NA
K03130	TAF5; transcription initiation factor TFIID subunit 5	NA	NA	NA	NA
K13800	CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.- 2.7.4.14]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	Pathway module	Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	Leucine degradation, leucine => acetoacetate + acetyl-CoA
K02736	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Proteasome, 20S core particle
K02736	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Immunoproteasome
K10352	MYH; myosin heavy chain	NA	NA	NA	NA
K11275	H1_5; histone H1/5	NA	NA	NA	NA
K13297	PTPRT; receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]	NA	NA	NA	NA
K14016	UFD1; ubiquitin fusion degradation protein 1	Structural complex	Genetic information processing	Protein processing	p97-Ufd1-Npl4 complex
K14016	UFD1; ubiquitin fusion degradation protein 1	Structural complex	Genetic information processing	Protein processing	HRD1/SEL1 ERAD complex
K02932	RP-L5e, RPL5; large subunit ribosomal protein L5e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K09540	SEC63, DNAJC23; translocation protein SEC63	NA	NA	NA	NA
K15747	LUT5, CYP97A3; beta-ring hydroxylase [EC:1.14.-.-]	Pathway module	Carbohydrate and lipid metabolism	Other terpenoid biosynthesis	Abscisic acid biosynthesis, beta-carotene => abscisic acid
K19752	DNAAF3, PF22; dynein assembly factor 3, axonemal	NA	NA	NA	NA
K13293	PDE4; cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]	NA	NA	NA	NA
K13205	AAR2, C20orf4; A1 cistron-splicing factor AAR2	NA	NA	NA	NA
K13755	PDE1; calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]	NA	NA	NA	NA
K14326	UPF1, RENT1; regulator of nonsense transcripts 1 [EC:3.6.4.-]	Structural complex	Genetic information processing	RNA processing	Exon junction complex (EJC)
K15437	AIMP1, ARC1; aminoacyl tRNA synthase complex-interacting multifunctional protein 1	NA	NA	NA	NA
K09512	DNAJB6; DnaJ homolog subfamily B member 6	NA	NA	NA	NA
K03164	TOP2; DNA topoisomerase II [EC:5.99.1.3]	NA	NA	NA	NA
K02357	tsf, TSFM; elongation factor Ts	NA	NA	NA	NA
K02703	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Structural complex	Energy metabolism	Photosynthesis	Photosystem II
K09571	FKBP4_5; FK506-binding protein 4/5 [EC:5.2.1.8]	NA	NA	NA	NA
K01110	PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]	NA	NA	NA	NA
K15710	SHPRH; E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 2.3.2.27]	NA	NA	NA	NA
K00970	pcnB; poly(A) polymerase [EC:2.7.7.19]	NA	NA	NA	NA
K14213	PEPD; Xaa-Pro dipeptidase [EC:3.4.13.9]	NA	NA	NA	NA
K10960	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	NA	NA	NA	NA
K03238	EIF2S2; translation initiation factor 2 subunit 2	NA	NA	NA	NA
K06497	CD63, MLA1, TSPAN30; CD63 antigen	NA	NA	NA	NA
K02641	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]	NA	NA	NA	NA
K10595	HERC2; E3 ubiquitin-protein ligase HERC2 [EC:2.3.2.26]	NA	NA	NA	NA
K01074	PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]	NA	NA	NA	NA
K02350	POLZ1, rev3; DNA polymerase zeta [EC:2.7.7.7]	Structural complex	Genetic information processing	DNA polymerase	DNA polymerase zeta  complex
K12392	AP1B1; AP-1 complex subunit beta-1	NA	NA	NA	NA
K01180	E3.2.1.6; endo-1,3(4)-beta-glucanase [EC:3.2.1.6]	NA	NA	NA	NA
K03178	UBE1, UBA1; ubiquitin-activating enzyme E1 [EC:6.2.1.45]	NA	NA	NA	NA
K03941	NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3]	Structural complex	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
